,Feature1,Feature2,Correlation_x,Correlation_y
212,Ne_rho_z25,Ne_rho_z47,True,True
213,Ne_rho_z25,Ne_rho_z48,True,True
214,Ne_rho_z25,Ne_rho_z49,True,True
215,Ne_rho_z25,Ne_rho_z50,True,True
216,Ne_rho_z25,Ne_rho_z51,True,True
217,Ne_rho_z25,Ne_rho_z52,True,True
218,Ne_rho_z25,Ne_rho_z53,True,True
219,Ne_rho_z25,Ne_rho_z54,True,True
220,Ne_rho_z25,Ne_rho_z55,True,True
221,Ne_rho_z25,Ne_rho_z56,True,True
222,Ne_rho_z25,Ne_rho_z57,True,True
223,Ne_rho_z25,Ne_rho_z58,True,True
224,Ne_rho_z25,Ne_rho_z59,True,True
225,Ne_rho_z25,Ne_rho_z60,True,True
226,Ne_rho_z25,Te_rho_z14,True,True
227,Ne_rho_z25,Te_rho_z15,True,True
228,Ne_rho_z25,Te_rho_z16,True,True
229,Ne_rho_z25,Te_rho_z17,True,True
230,Ne_rho_z25,Te_rho_z18,True,True
231,Ne_rho_z25,Te_rho_z19,True,True
232,Ne_rho_z25,Te_rho_z20,True,True
233,Ne_rho_z25,Te_rho_z21,True,True
234,Ne_rho_z25,Te_rho_z22,True,True
235,Ne_rho_z25,Te_rho_z23,True,True
236,Ne_rho_z25,Te_rho_z24,True,True
237,Ne_rho_z25,Te_rho_z25,True,True
238,Ne_rho_z25,Te_rho_z26,True,True
239,Ne_rho_z25,Te_rho_z27,True,True
240,Ne_rho_z25,Te_rho_z28,True,True
241,Ne_rho_z25,Te_rho_z45,True,True
242,Ne_rho_z25,Te_rho_z46,True,True
243,Ne_rho_z25,Te_rho_z47,True,True
244,Ne_rho_z25,Te_rho_z48,True,True
245,Ne_rho_z25,Te_rho_z49,True,True
246,Ne_rho_z25,Te_rho_z50,True,True
247,Ne_rho_z25,Te_rho_z51,True,True
248,Ne_rho_z25,Te_rho_z52,True,True
249,Ne_rho_z25,Te_rho_z53,True,True
250,Ne_rho_z25,Te_rho_z54,True,True
251,Ne_rho_z25,Te_rho_z55,True,True
252,Ne_rho_z25,Te_rho_z56,True,True
253,Ne_rho_z25,Te_rho_z57,True,True
254,Ne_rho_z25,Te_rho_z58,True,True
255,Ne_rho_z25,Te_rho_z59,True,True
256,Ne_rho_z26,Ne_rho_z21,True,True
257,Ne_rho_z26,Ne_rho_z22,True,True
258,Ne_rho_z26,Ne_rho_z23,True,True
259,Ne_rho_z26,Ne_rho_z24,True,True
260,Ne_rho_z26,Ne_rho_z25,True,True
261,Ne_rho_z26,Ne_rho_z27,True,True
262,Ne_rho_z26,Ne_rho_z28,True,True
263,Ne_rho_z26,Ne_rho_z29,True,True
264,Ne_rho_z26,Ne_rho_z30,True,True
265,Ne_rho_z26,Ne_rho_z31,True,True
266,Ne_rho_z26,Ne_rho_z32,True,True
267,Ne_rho_z26,Ne_rho_z33,True,True
268,Ne_rho_z26,Ne_rho_z34,True,True
269,Ne_rho_z26,Ne_rho_z35,True,True
270,Ne_rho_z26,Ne_rho_z36,True,True
271,Ne_rho_z26,Ne_rho_z37,True,True
272,Ne_rho_z26,Ne_rho_z38,True,True
273,Ne_rho_z26,Ne_rho_z39,True,True
274,Ne_rho_z26,Ne_rho_z40,True,True
275,Ne_rho_z26,Ne_rho_z41,True,True
276,Ne_rho_z26,Ne_rho_z42,True,True
277,Ne_rho_z26,Ne_rho_z43,True,True
278,Ne_rho_z26,Ne_rho_z44,True,True
279,Ne_rho_z26,Ne_rho_z45,True,True
280,Ne_rho_z26,Ne_rho_z46,True,True
281,Ne_rho_z26,Ne_rho_z47,True,True
282,Ne_rho_z26,Ne_rho_z48,True,True
283,Ne_rho_z26,Ne_rho_z49,True,True
284,Ne_rho_z26,Ne_rho_z50,True,True
285,Ne_rho_z26,Ne_rho_z51,True,True
286,Ne_rho_z26,Ne_rho_z52,True,True
287,Ne_rho_z26,Ne_rho_z53,True,True
288,Ne_rho_z26,Ne_rho_z54,True,True
289,Ne_rho_z26,Ne_rho_z55,True,True
290,Ne_rho_z26,Ne_rho_z56,True,True
291,Ne_rho_z26,Ne_rho_z57,True,True
292,Ne_rho_z26,Ne_rho_z58,True,True
293,Ne_rho_z26,Ne_rho_z59,True,True
294,Ne_rho_z26,Ne_rho_z60,True,True
295,Ne_rho_z26,Te_rho_z14,True,True
296,Ne_rho_z26,Te_rho_z15,True,True
297,Ne_rho_z26,Te_rho_z16,True,True
298,Ne_rho_z26,Te_rho_z17,True,True
299,Ne_rho_z26,Te_rho_z18,True,True
300,Ne_rho_z26,Te_rho_z19,True,True
301,Ne_rho_z26,Te_rho_z20,True,True
302,Ne_rho_z26,Te_rho_z21,True,True
303,Ne_rho_z26,Te_rho_z22,True,True
304,Ne_rho_z26,Te_rho_z23,True,True
305,Ne_rho_z26,Te_rho_z24,True,True
306,Ne_rho_z26,Te_rho_z25,True,True
307,Ne_rho_z26,Te_rho_z26,True,True
308,Ne_rho_z26,Te_rho_z27,True,True
309,Ne_rho_z26,Te_rho_z28,True,True
310,Ne_rho_z26,Te_rho_z29,True,True
311,Ne_rho_z26,Te_rho_z30,True,True
312,Ne_rho_z26,Te_rho_z31,True,True
313,Ne_rho_z26,Te_rho_z32,True,True
314,Ne_rho_z26,Te_rho_z33,True,True
315,Ne_rho_z26,Te_rho_z34,True,True
316,Ne_rho_z26,Te_rho_z35,True,True
317,Ne_rho_z26,Te_rho_z36,True,True
318,Ne_rho_z26,Te_rho_z37,True,True
319,Ne_rho_z26,Te_rho_z38,True,True
320,Ne_rho_z26,Te_rho_z39,True,True
321,Ne_rho_z26,Te_rho_z40,True,True
322,Ne_rho_z26,Te_rho_z41,True,True
323,Ne_rho_z26,Te_rho_z42,True,True
324,Ne_rho_z26,Te_rho_z43,True,True
325,Ne_rho_z26,Te_rho_z44,True,True
326,Ne_rho_z26,Te_rho_z45,True,True
327,Ne_rho_z26,Te_rho_z46,True,True
328,Ne_rho_z26,Te_rho_z47,True,True
329,Ne_rho_z26,Te_rho_z48,True,True
330,Ne_rho_z26,Te_rho_z49,True,True
331,Ne_rho_z26,Te_rho_z50,True,True
332,Ne_rho_z26,Te_rho_z51,True,True
333,Ne_rho_z26,Te_rho_z52,True,True
334,Ne_rho_z26,Te_rho_z53,True,True
335,Ne_rho_z26,Te_rho_z54,True,True
336,Ne_rho_z26,Te_rho_z55,True,True
337,Ne_rho_z26,Te_rho_z56,True,True
338,Ne_rho_z26,Te_rho_z57,True,True
339,Ne_rho_z26,Te_rho_z58,True,True
340,Ne_rho_z26,Te_rho_z59,True,True
341,Ne_rho_z26,Te_rho_z60,True,True
342,Ne_rho_z26,Te_rho_z61,True,True
343,Ne_rho_z27,Ne_rho_z21,True,True
344,Ne_rho_z27,Ne_rho_z22,True,True
345,Ne_rho_z27,Ne_rho_z23,True,True
346,Ne_rho_z27,Ne_rho_z24,True,True
347,Ne_rho_z27,Ne_rho_z25,True,True
348,Ne_rho_z27,Ne_rho_z26,True,True
349,Ne_rho_z27,Ne_rho_z28,True,True
350,Ne_rho_z27,Ne_rho_z29,True,True
351,Ne_rho_z27,Ne_rho_z30,True,True
352,Ne_rho_z27,Ne_rho_z31,True,True
353,Ne_rho_z27,Ne_rho_z32,True,True
354,Ne_rho_z27,Ne_rho_z33,True,True
355,Ne_rho_z27,Ne_rho_z34,True,True
356,Ne_rho_z27,Ne_rho_z35,True,True
357,Ne_rho_z27,Ne_rho_z36,True,True
358,Ne_rho_z27,Ne_rho_z37,True,True
359,Ne_rho_z27,Ne_rho_z38,True,True
360,Ne_rho_z27,Ne_rho_z39,True,True
361,Ne_rho_z27,Ne_rho_z40,True,True
362,Ne_rho_z27,Ne_rho_z41,True,True
363,Ne_rho_z27,Ne_rho_z42,True,True
364,Ne_rho_z27,Ne_rho_z43,True,True
365,Ne_rho_z27,Ne_rho_z44,True,True
366,Ne_rho_z27,Ne_rho_z45,True,True
367,Ne_rho_z27,Ne_rho_z46,True,True
368,Ne_rho_z27,Ne_rho_z47,True,True
369,Ne_rho_z27,Ne_rho_z48,True,True
370,Ne_rho_z27,Ne_rho_z49,True,True
371,Ne_rho_z27,Ne_rho_z50,True,True
372,Ne_rho_z27,Ne_rho_z51,True,True
373,Ne_rho_z27,Ne_rho_z52,True,True
374,Ne_rho_z27,Ne_rho_z53,True,True
375,Ne_rho_z27,Ne_rho_z54,True,True
376,Ne_rho_z27,Ne_rho_z55,True,True
377,Ne_rho_z27,Ne_rho_z56,True,True
378,Ne_rho_z27,Ne_rho_z57,True,True
379,Ne_rho_z27,Ne_rho_z58,True,True
380,Ne_rho_z27,Ne_rho_z59,True,True
381,Ne_rho_z27,Ne_rho_z60,True,True
382,Ne_rho_z27,Te_rho_z14,True,True
383,Ne_rho_z27,Te_rho_z15,True,True
384,Ne_rho_z27,Te_rho_z16,True,True
385,Ne_rho_z27,Te_rho_z17,True,True
386,Ne_rho_z27,Te_rho_z18,True,True
387,Ne_rho_z27,Te_rho_z19,True,True
388,Ne_rho_z27,Te_rho_z20,True,True
389,Ne_rho_z27,Te_rho_z21,True,True
390,Ne_rho_z27,Te_rho_z22,True,True
391,Ne_rho_z27,Te_rho_z23,True,True
392,Ne_rho_z27,Te_rho_z24,True,True
393,Ne_rho_z27,Te_rho_z25,True,True
394,Ne_rho_z27,Te_rho_z26,True,True
395,Ne_rho_z27,Te_rho_z27,True,True
396,Ne_rho_z27,Te_rho_z28,True,True
397,Ne_rho_z27,Te_rho_z29,True,True
